"celebrity_id","celebrity","notability"
135,"Gavin DeGraw","Singer-songwriter"
136,"Roshon Fegan","Disney Channel actor & rapper"
137,"Sherri Shepherd","The View panelist & actress"
138,"Tatum O'Neal","Film actress"
139,"Romeo","Rapper & actor"
140,"Sugar Ray Leonard","Professional boxer"
141,"Kendra Wilkinson","Model & reality television star"
142,"Misty May-Treanor","Olympic beach volleyball player"
143,"Warren Sapp","NFL defensive tackle"
144,"Monica Seles","Professional tennis player"
145,"Marissa Jaret Winokur","Broadway actress"
146,"Priscilla Presley","Actress & businesswoman"
147,"Kristi Yamaguchi","Olympic figure skater"
148,"Margaret Cho","Stand-up comedian"
149,"Kareem Abdul-Jabbar","NBA center"
150,"Jennie Finch Daigle","Olympic softball pitcher"
151,"Jamie Anderson","Olympic snowboarder"
152,"Mirai Nagasu","Olympic figure skater"
153,"Debbie Gibson","Singer-songwriter---& Broadway actress"
154,"Sasha Pieterse","Pretty Little Liars actress"
155,"Drew Scott","Property Brothers co-host"
156,"Joey McIntyre","New Kids on the Block singer"
157,"Jordin Sparks","Singer-songwriter & actress"
158,"Melanie C","Spice Girls singer"
159,"Buzz Aldrin","Apollo 11 astronaut"
160,"Louie Vito","Snowboarder"
161,"Michael Irvin","NFL player"
162,"Tom DeLay","U.S. House Majority Leader"
163,"Holly Madison","Playboy model &---reality television star"
164,"Ty Murray","Rodeo cowboy"
165,"Nancy Kerrigan","Olympic figure skater"
166,"Chris Kattan","Actor & comedian"
167,"Bonner Bolton","Model & bull rider"
168,"Charo","Actress, comedian & musician"
169,"Patti LaBelle","Soul singer"
170,"Chris Soules","The Bachelor star"
171,"Michael Sam","NFL defensive end"
172,"James Hinchcliffe","IndyCar driver"
173,"Calvin Johnson Jr.","NFL wide receiver"
174,"Maureen McCormick","Actress & author"
175,"Babyface","Singer-songwriter &---record producer"
176,"Paige VanZant","UFC fighter & model"
177,"Doug Flutie","NFL quarterback"
178,"Jodie Sweetin","Full House actress"
179,"Geraldo Rivera","Journalist & talk show host"
180,"Tamar Braxton","R&B singer & reality television star"
181,"Chaka Khan","Funk & R&B singer"
182,"Hayes Grier","Vine & social media personality"
183,"Floyd Mayweather Jr.","Professional boxer"
184,"Albert Reed","Supermodel"
185,"Mark Cuban","Dallas Mavericks owner---& entrepreneur"
186,"Tavis Smiley","Television & radio broadcaster"
187,"Sadie Robertson","Duck Dynasty star"
